ID,State,Week,Original FICO Score,Latest FICO Score,"Dlq 
Days", Purchase Price , Down Payment ," Original
Principal
Balance "," Current
Principal 
Balance ", Total Amount Due ," Total
NSF
Due ", Total Late Charges Due , Payoff Amount ," Current 
Payment 
Amount  ","Current 
Rate","Current 
Term",Term Paid," Total Maintenance
Fee
Balance Due ","Payment
Type","Payment
Due Day",Times Late,Times DLQ,Times Defaulted,
288,NY,29,770,815,-5,24200,4840,19360,16218.88, -   , -   , -   ,16369.98,287.92,12.9,120,33, -   ,AUTO DEBIT,5,0,0,0,
289,NC,52,766,804,-5,10300,1030,9270,3447.25, -   , -   , -   ,3434.74,173.21,13.9,84,49, -   ,AUTO DEBIT,5,0,0,0,
290,GA,4,704,555,-25,6750,675,6075,5016.44, -   , -   , -   ,5028.9,108.67,14.9,96,27,424.06,AUTO DEBIT,25,0,0,0,
291,GA,14,703,734,-15,9350,935,8415,6614, -   , -   , -   ,6654.86,157.23,13.9,84,26, -   ,AUTO DEBIT,15,0,0,0,
292,NY,8,656,563,-25,8050,805,7245,5763.02, -   , -   , -   ,5776.37,135.37,13.9,84,25,263.32,AUTO DEBIT,25,0,0,0,
293,WV,10,694,532,-20,10800,1080,9720,7406.29, -   , -   , -   ,7440.01,173.87,14.9,96,35,579.79,AUTO DEBIT,20,0,0,0,
294,NC,25,654,506,-10,24550,2455,22095,19522.64,71.32,30,41.32,19763.65,355.12,14.9,120,27,339.54,AUTO DEBIT,10,1,1,0,
295,CA,28,705,508,-5,15270,1527,13743,7503.12, -   , -   , -   ,7578.44,212.56,13.9,120,74,602.73,AUTO DEBIT,5,0,0,0,
296,IN,2,614,504,-10,6200,620,5580,3515.35, -   , -   , -   ,3543.85,104.26,13.9,84,41,1442.34,AUTO DEBIT,10,0,0,0,
297,WV,9,596,647,77,10250,1025,9225,5053.62,576.84, -   ,32.64,5345.28,181.4,17.9,96,62,368.69,COUPON,15,10,4,0,
298,NC,8,752,496,209,7000,700,6300,4178.77,896.15,60,47.32,4673.32,112.69,14.9,96,46,1128.44,COUPON,5,7,6,3,
299,MD,12,520,511,319,8800,880,7920,6595.97,1990.87,120,312.5,7926.55,141.67,14.9,96,25,1139.08,COUPON,15,14,13,7,
300,GA,49,583,553,-5,7000,700,6300,3736.97,241.32, -   ,241.32,4018.5,112.69,14.9,96,53,2388.09,AUTO DEBIT,5,0,0,0,
301,NC,14,735,776,-15,14900,2371,12528.71,6520.57, -   , -   , -   ,6461.78,231.41,15.9,96,57, -   ,COUPON,15,10,2,0,
302,TN,8,588,574,-10,7000,700,6300,548.78, -   , -   , -   ,553.55,121.22,14.9,84,79,1000.54,AUTO DEBIT,10,0,0,0,
303,SC,13,603,572,25,16300,1630,14670,2318.83,726.81, -   ,452.7,2819.19,274.11,13.9,84,75,4478.75,AUTO DEBIT,5,14,12,0,
304,GA,2,791,743,-20,5200,1040,4160,2952.38, -   , -   , -   ,2962.22,90.24,10.9,60,21, -   ,AUTO DEBIT,20,0,0,0,
305,VA,2,474,528,-25,6750,675,6075,4875.54, -   , -   , -   ,4887.65,108.67,14.9,96,30,1910.7,AUTO DEBIT,25,0,0,0,
306,NC,10,488,661,-5,9780,978,8802,2099.29,44.74, -   ,44.74,2165.11,164.46,13.9,84,70, -   ,AUTO DEBIT,5,0,0,0,
307,VA,6,463,522,888,11500,2300,9200,8460.78,5100.05, -   ,242.75,12035.92,161.91,11.9,84,10,2523.72,COUPON,25,15,14,11,
308,NC,11,656,516,-5,10300,1030,9270,5498.46, -   , -   , -   ,5557.63,165.82,14.9,96,53,484.8,AUTO DEBIT,5,0,0,0,
309,MD,17,776,784,-25,14900,2980,11920,8079.78, -   , -   , -   ,8094.46,258.58,10.9,60,23, -   ,AUTO DEBIT,25,0,0,0,
310,SC,2,681,619,-5,5100,510,4590,3991.79, -   , -   , -   ,4034.74,82.1,14.9,96,21,0.33,AUTO DEBIT,5,0,0,0,
311,VA,28,648,599,-15,23200,2320,20880,13238.02, -   , -   , -   ,13325.68,373.49,14.9,96,49,721.63,AUTO DEBIT,15,0,0,0,
312,GA,7,592,595,5,7100,710,6390,4739.72,179.93,36.92,27.68,4941.99,115.33,14.9,96,39,1108.51,AUTO DEBIT,25,13,10,0,
313,NC,5,430,526,401,6750,675,6075,5733.04,1862.68,90,100.38,7087.3,119.45,17.9,96,11,958.81,COUPON,25,15,14,10,
314,VA,5,552,508,340,6750,675,6075,5409.08,1375.76, -   ,97.8,6332.57,108.67,14.9,96,18,914.16,COUPON,25,15,13,8,
315,NC,5,803,812,-15,6400,640,5760,4340.49, -   , -   , -   ,4369.23,103.03,14.9,96,36,363.32,AUTO DEBIT,15,0,0,0,
316,NC,51,663,642,-10,10300,1030,9270,5783.98, -   , -   , -   ,5834.25,165.82,14.9,96,50,368.69,AUTO DEBIT,10,0,0,0,
317,GA,38,464,515,-15,13300,1330,11970,9223,14.12, -   ,14.12,9181.88,235.36,17.9,96,36,363.32,COUPON,15,12,1,0,
318,NC,36,694,510,133,19400,1940,17460,12954.77,1403.1, -   , -   ,13800.18,280.62,14.9,120,51,1508.21,COUPON,10,5,4,1,
319,VA,4,773,801,-5,8990,899,8091,6742.27, -   , -   , -   ,6814.83,144.73,14.9,96,26, -   ,AUTO DEBIT,5,0,0,0,
320,NC,1,654,688,-25,9500,950,8550,5299.23, -   , -   , -   ,5312.39,154.44,14.9,96,51,793.13,AUTO DEBIT,25,0,0,0,
321,VA,8,698,705,87,9500,950,8550,4250.7,508.05, -   ,28.77,4462.63,159.76,13.9,84,52,-32,COUPON,5,3,2,0,
322,VA,42,798,576,-5,13300,1330,11970,8893.26,12.85, -   ,12.85,9001.81,214.11,14.9,96,36,1435.49,COUPON,5,8,2,0,
323,MI,50,680,635,-15,8050,805,7245,5694.4, -   , -   , -   ,5729.58,135.37,13.9,84,26,368.69,COUPON,15,1,0,0,
324,NC,17,801,825,-25,14900,7392,7508.28,314.08, -   , -   , -   ,314.6,159.16,9.9,60,58, -   ,AUTO DEBIT,25,0,0,0,
325,VA,50,741,728,-20,8050,805,7245,5814.53, -   , -   , -   ,5841.01,129.6,14.9,96,30, -   ,COUPON,20,6,0,0,
326,MD,33,769,691,-15,14900,1490,13410,7192.76, -   , -   , -   ,7243.58,223.8,15.9,120,73, -   ,COUPON,15,12,0,0,
327,PA,50,730,721,-25,6900,690,6210,5645.86, -   , -   , -   ,5709.31,111.08,17.9,96,24,536.77,COUPON,25,12,0,0,
328,NC,13,719,720,-1,14900,1490,13410,12049.04, -   , -   , -   ,12359.4,215.53,14.9,120,24, -   ,AUTO DEBIT,1,0,0,0,
329,SC,48,642,696,-25,7100,710,6390,3878.96,7.16, -   ,7.16,3895.1,119.4,13.9,84,43, -   ,AUTO DEBIT,25,0,0,0,
330,GA,4,652,754,-10,6200,620,5580,4128.4, -   , -   , -   ,4164.28,100.28,14.9,96,38, -   ,AUTO DEBIT,10,0,0,0,
331,OH,51,608,664,-25,14900,1490,13410,8634.58, -   , -   , -   ,8656.02,239.87,14.9,96,48,721.63,AUTO DEBIT,25,0,0,0,
332,GA,37,650,700,-15,12600,1260,11340,6485.99, -   , -   , -   ,6528.94,202.85,14.9,96,55, -   ,AUTO DEBIT,15,0,0,0,
333,NY,36,742,518,416,8600,860,7740,1479.65,1681.45, -   ,87.54,1675.57,148.92,15.9,84,73,979.7,COUPON,10,12,12,9,
334,SC,7,666,663,-20,7100,710,6390,3856.72,96.86,90,6.86,3971.14,114.3,14.9,96,52, -   ,AUTO CREDIT,20,3,0,0,
335,NC,3,510,560,248,5200,520,4680,4229.93,913.55,120,40.16,4858.2,83.71,14.9,96,16,2017.02,COUPON,25,9,8,5,
336,MD,3,727,674,-15,6200,620,5580,2997.6, -   , -   , -   ,3016.12,104.26,13.9,84,48,363.32,AUTO DEBIT,15,0,0,0,
337,TN,1,695,716,-10,6200,620,5580,3647.42, -   , -   , -   ,3679.12,99.81,14.9,96,47, -   ,AUTO DEBIT,10,0,0,0,
338,PA,24,579,581,-25,15700,1600,14100,7703.93, -   , -   , -   ,7720.5,320.1,12.9,60,32, -   ,AUTO DEBIT,25,0,0,0,
339,PA,34,440,496,452,11050,1105,9945,8656.91,3851.33, -   ,246.16,10497.93,241.31,15.9,60,11,787.25,COUPON,5,14,13,10,
340,NC,3,581,696,425,6200,620,5580,4225.21,1627.87,120,105.53,5230.54,99.81,14.9,96,36,1106.98,COUPON,1,14,14,11,
341,MA,17,771,779,-5,14900,2980,11920,8094.52, -   , -   , -   ,8158.25,258.58,10.9,60,23, -   ,AUTO DEBIT,5,0,0,0,
342,VA,17,709,596,-10,10800,1080,9720,7064.29,10,10, -   ,7131.57,181.62,13.9,84,32, -   ,AUTO DEBIT,10,1,0,0,
343,MI,9,807,813,-15,11250,1125,10125,5571.79, -   , -   , -   ,5608.68,181.11,14.9,96,57, -   ,AUTO DEBIT,15,0,0,0,
344,NC,26,763,595,-10,22900,2290,20610,10413.47, -   , -   , -   ,10503.98,368.66,14.9,96,60,721.63,AUTO DEBIT,10,0,0,0,
345,SC,10,491,595,868,10250,1025,9225,7780.55,5455.97, -   ,261.12,10930.81,181.39,17.9,96,35,1856.39,COUPON,15,14,13,10,
346,SC,3,640,714,-20,6200,620,5580,2629.36, -   , -   , -   ,2640.53,104.26,13.9,84,54, -   ,AUTO DEBIT,20,0,0,0,
347,MD,7,613,523,401,7000,700,6300,4525.55,1818.9,60,230.48,5544.1,112.69,14.9,96,41,1119.8,COUPON,25,15,14,11,
348,NC,32,529,624,-5,12600,2520,10080,6621.25,83.2,30,53.2,6695.67,177.4,11.9,84,37,363.32,AUTO DEBIT,5,3,2,0,
349,GA,12,731,645,-5,10300,1030,9270,5689.98, -   , -   , -   ,5751.21,165.82,14.9,96,51, -   ,AUTO DEBIT,5,0,0,0,
350,SC,52,775,771,-15,10250,1025,9225,4335.58, -   , -   , -   ,4364.29,165.01,14.9,96,64, -   ,AUTO DEBIT,15,1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
