ID,State,Week,Original FICO Score,Latest FICO Score,"Dlq 
Days",Purchase Price,Down Payment,"Original
Principal
Balance","Current
Principal 
Balance",Total Amount Due,"Total
NSF
Due",Total Late Charges Due,Payoff Amount,"Current 
Payment 
Amount","Current 
Rate","Current 
Term",Term Paid,"Total Maintenance
Fee
Balance Due","Payment
Type","Payment
Due Day",Times Late,Times DLQ,Times Defaulted
319,VA,4,773,801,-5,"8,990.00",899,"8,091.00","6,742.27",-,-,-,"6,814.83",144.73,14.9,96,26,-,AUTO DEBIT,5,0,0,0
320,NC,1,654,688,-25,"9,500.00",950,"8,550.00","5,299.23",-,-,-,"5,312.39",154.44,14.9,96,51,793.13,AUTO DEBIT,25,0,0,0
321,VA,8,698,705,87,"9,500.00",950,"8,550.00","4,250.70",508.05,-,28.77,"4,462.63",159.76,13.9,84,52,-32,COUPON,5,3,2,0
322,VA,42,798,576,-5,"13,300.00","1,330.00","11,970.00","8,893.26",12.85,-,12.85,"9,001.81",214.11,14.9,96,36,"1,435.49",COUPON,5,8,2,0
323,MI,50,680,635,-15,"8,050.00",805,"7,245.00","5,694.40",-,-,-,"5,729.58",135.37,13.9,84,26,368.69,COUPON,15,1,0,0
324,NC,17,801,825,-25,"14,900.00","7,392.00","7,508.28",314.08,-,-,-,314.6,159.16,9.9,60,58,-,AUTO DEBIT,25,0,0,0
325,VA,50,741,728,-20,"8,050.00",805,"7,245.00","5,814.53",-,-,-,"5,841.01",129.6,14.9,96,30,-,COUPON,20,6,0,0
326,MD,33,769,691,-15,"14,900.00","1,490.00","13,410.00","7,192.76",-,-,-,"7,243.58",223.8,15.9,120,73,-,COUPON,15,12,0,0
327,PA,50,730,721,-25,"6,900.00",690,"6,210.00","5,645.86",-,-,-,"5,709.31",111.08,17.9,96,24,536.77,COUPON,25,12,0,0
328,NC,13,719,720,-1,"14,900.00","1,490.00","13,410.00","12,049.04",-,-,-,"12,359.40",215.53,14.9,120,24,-,AUTO DEBIT,1,0,0,0
329,SC,48,642,696,-25,"7,100.00",710,"6,390.00","3,878.96",7.16,-,7.16,"3,895.10",119.4,13.9,84,43,-,AUTO DEBIT,25,0,0,0
330,GA,4,652,754,-10,"6,200.00",620,"5,580.00","4,128.40",-,-,-,"4,164.28",100.28,14.9,96,38,-,AUTO DEBIT,10,0,0,0
331,OH,51,608,664,-25,"14,900.00","1,490.00","13,410.00","8,634.58",-,-,-,"8,656.02",239.87,14.9,96,48,721.63,AUTO DEBIT,25,0,0,0
332,GA,37,650,700,-15,"12,600.00","1,260.00","11,340.00","6,485.99",-,-,-,"6,528.94",202.85,14.9,96,55,-,AUTO DEBIT,15,0,0,0
333,NY,36,742,518,416,"8,600.00",860,"7,740.00","1,479.65","1,681.45",-,87.54,"1,675.57",148.92,15.9,84,73,979.7,COUPON,10,12,12,9
334,SC,7,666,663,-20,"7,100.00",710,"6,390.00","3,856.72",96.86,90,6.86,"3,971.14",114.3,14.9,96,52,-,AUTO CREDIT,20,3,0,0
335,NC,3,510,560,248,"5,200.00",520,"4,680.00","4,229.93",913.55,120,40.16,"4,858.20",83.71,14.9,96,16,"2,017.02",COUPON,25,9,8,5
336,MD,3,727,674,-15,"6,200.00",620,"5,580.00","2,997.60",-,-,-,"3,016.12",104.26,13.9,84,48,363.32,AUTO DEBIT,15,0,0,0
337,TN,1,695,716,-10,"6,200.00",620,"5,580.00","3,647.42",-,-,-,"3,679.12",99.81,14.9,96,47,-,AUTO DEBIT,10,0,0,0
338,PA,24,579,581,-25,"15,700.00","1,600.00","14,100.00","7,703.93",-,-,-,"7,720.50",320.1,12.9,60,32,-,AUTO DEBIT,25,0,0,0
339,PA,34,440,496,452,"11,050.00","1,105.00","9,945.00","8,656.91","3,851.33",-,246.16,"10,497.93",241.31,15.9,60,11,787.25,COUPON,5,14,13,10
340,NC,3,581,696,425,"6,200.00",620,"5,580.00","4,225.21","1,627.87",120,105.53,"5,230.54",99.81,14.9,96,36,"1,106.98",COUPON,1,14,14,11
341,MA,17,771,779,-5,"14,900.00","2,980.00","11,920.00","8,094.52",-,-,-,"8,158.25",258.58,10.9,60,23,-,AUTO DEBIT,5,0,0,0
342,VA,17,709,596,-10,"10,800.00","1,080.00","9,720.00","7,064.29",10,10,-,"7,131.57",181.62,13.9,84,32,-,AUTO DEBIT,10,1,0,0
343,MI,9,807,813,-15,"11,250.00","1,125.00","10,125.00","5,571.79",-,-,-,"5,608.68",181.11,14.9,96,57,-,AUTO DEBIT,15,0,0,0
344,NC,26,763,595,-10,"22,900.00","2,290.00","20,610.00","10,413.47",-,-,-,"10,503.98",368.66,14.9,96,60,721.63,AUTO DEBIT,10,0,0,0
345,SC,10,491,595,868,"10,250.00","1,025.00","9,225.00","7,780.55","5,455.97",-,261.12,"10,930.81",181.39,17.9,96,35,"1,856.39",COUPON,15,14,13,10
346,SC,3,640,714,-20,"6,200.00",620,"5,580.00","2,629.36",-,-,-,"2,640.53",104.26,13.9,84,54,-,AUTO DEBIT,20,0,0,0
347,MD,7,613,523,401,"7,000.00",700,"6,300.00","4,525.55","1,818.90",60,230.48,"5,544.10",112.69,14.9,96,41,"1,119.80",COUPON,25,15,14,11
348,NC,32,529,624,-5,"12,600.00","2,520.00","10,080.00","6,621.25",83.2,30,53.2,"6,695.67",177.4,11.9,84,37,363.32,AUTO DEBIT,5,3,2,0
349,GA,12,731,645,-5,"10,300.00","1,030.00","9,270.00","5,689.98",-,-,-,"5,751.21",165.82,14.9,96,51,-,AUTO DEBIT,5,0,0,0
350,SC,52,775,771,-15,"10,250.00","1,025.00","9,225.00","4,335.58",-,-,-,"4,364.29",165.01,14.9,96,64,-,AUTO DEBIT,15,1,0,0
